1646914720.646292000, Interface, TLS,"encrypted-tbn0.gstatic.com"," src 192.168.0.199 : 52287 | dst 216.58.201.78 : 443"
1646914722.322472000, Interface, TLS,"cvut.cz"," src 192.168.0.199 : 52288 | dst 147.32.3.202 : 443"
1646914722.324883000, Interface, TLS,"cvut.cz"," src 192.168.0.199 : 52289 | dst 147.32.3.202 : 443"
1646914722.577111000, Interface, HTTP,"www.cvut.cz/"," src 192.168.0.199 : 52290 | dst 147.32.3.202 : 80"
1646914722.626639000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52291 | dst 147.32.3.202 : 443"
1646914723.463659000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52293 | dst 147.32.3.202 : 443"
1646914723.463767000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52292 | dst 147.32.3.202 : 443"
1646914723.472000000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52296 | dst 147.32.3.202 : 443"
1646914723.472057000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52295 | dst 147.32.3.202 : 443"
1646914723.472158000, Interface, TLS,"www.cvut.cz"," src 192.168.0.199 : 52294 | dst 147.32.3.202 : 443"
1646914723.644171000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52298 | dst 147.32.3.202 : 443"
1646914723.644247000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52297 | dst 147.32.3.202 : 443"
1646914723.644863000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52299 | dst 147.32.3.202 : 443"
1646914723.649668000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52301 | dst 147.32.3.202 : 443"
1646914723.649954000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52300 | dst 147.32.3.202 : 443"
1646914723.663795000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52302 | dst 147.32.3.202 : 443"
1646914723.664654000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52306 | dst 147.32.3.202 : 443"
1646914723.664714000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52304 | dst 147.32.3.202 : 443"
1646914723.664827000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52305 | dst 147.32.3.202 : 443"
1646914723.664848000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52303 | dst 147.32.3.202 : 443"
1646914723.667475000, Interface, TLS,"aktualne.cvut.cz"," src 192.168.0.199 : 52307 | dst 147.32.3.202 : 443"
1646914723.670183000, Interface, TLS,"media.cvut.cz"," src 192.168.0.199 : 52308 | dst 147.32.3.202 : 443"
1646914734.567485000, Interface, TLS,"example.com"," src 192.168.0.199 : 52309 | dst 93.184.216.34 : 443"
1646914734.683561000, Interface, TLS,"example.com"," src 192.168.0.199 : 52309 | dst 93.184.216.34 : 443"
1646914739.523586000, Interface, TLS,"gs-loc.apple.com"," src 192.168.0.199 : 52310 | dst 17.142.171.9 : 443"
1646914741.327493000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52311 | dst 64.68.120.47 : 443"
1646914802.320393000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52312 | dst 64.68.120.47 : 443"
1646914831.28181000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52313 | dst 17.248.172.230 : 443"
1646914832.53625000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52314 | dst 142.251.5.128 : 443"
1646914832.974056000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52315 | dst 17.248.172.113 : 443"
1646914833.686770000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52316 | dst 17.248.172.228 : 443"
1646914834.581067000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52317 | dst 108.177.15.128 : 443"
1646914834.873062000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52318 | dst 17.248.172.113 : 443"
1646914835.170543000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52319 | dst 54.225.151.147 : 443"
1646914835.942960000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52320 | dst 17.248.172.113 : 443"
1646914836.314049000, Interface, TLS,"edge-086.deber3.icloud-content.com"," src 192.168.0.199 : 52321 | dst 17.248.172.229 : 443"
1646914847.628551000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52322 | dst 64.68.120.47 : 443"
1646914863.324520000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52323 | dst 64.68.120.47 : 443"
1646914882.111314000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52324 | dst 17.248.173.7 : 443"
1646914882.670109000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52325 | dst 173.194.76.128 : 443"
1646914883.391664000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52326 | dst 17.248.173.12 : 443"
1646914884.75500000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52327 | dst 17.248.172.231 : 443"
1646914884.561384000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52328 | dst 74.125.133.128 : 443"
1646914884.979641000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52329 | dst 17.248.173.12 : 443"
1646914885.524150000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52330 | dst 17.248.172.231 : 443"
1646914886.739776000, Interface, TLS,"metrics.icloud.com"," src 192.168.0.199 : 52331 | dst 17.248.173.39 : 443"
1646914886.765321000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52332 | dst 17.248.173.12 : 443"
1646914887.130954000, Interface, TLS,"edge-086.deber3.icloud-content.com"," src 192.168.0.199 : 52333 | dst 17.248.172.229 : 443"
1646914924.326508000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52334 | dst 64.68.120.47 : 443"
1646914934.3991000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52335 | dst 17.248.173.17 : 443"
1646914934.585426000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52336 | dst 64.233.166.128 : 443"
1646914935.189745000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52337 | dst 34.238.24.104 : 443"
1646914935.448083000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52338 | dst 17.248.172.144 : 443"
1646914936.290647000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52339 | dst 17.248.173.17 : 443"
1646914937.450112000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52340 | dst 17.248.172.144 : 443"
1646914938.175590000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52341 | dst 17.248.172.166 : 443"
1646914967.586869000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52342 | dst 17.248.173.38 : 443"
1646914968.543814000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52343 | dst 74.125.71.128 : 443"
1646914969.203128000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52344 | dst 17.248.173.70 : 443"
1646914969.794946000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52345 | dst 17.248.173.42 : 443"
1646914970.332974000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52346 | dst 142.250.13.128 : 443"
1646914970.637755000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52347 | dst 17.248.173.70 : 443"
1646914972.252529000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52348 | dst 17.248.173.70 : 443"
1646914972.256039000, Interface, TLS,"metrics.icloud.com"," src 192.168.0.199 : 52349 | dst 17.248.172.110 : 443"
1646914972.684126000, Interface, TLS,"edge-086.deber3.icloud-content.com"," src 192.168.0.199 : 52350 | dst 17.248.172.229 : 443"
1646914975.183528000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52351 | dst 34.232.120.145 : 443"
1646914985.337992000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52352 | dst 64.68.120.47 : 443"
1646914998.647427000, Interface, TLS,"t8.dropbox.com"," src 192.168.0.199 : 52353 | dst 162.125.19.130 : 443"
1646915001.450857000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52354 | dst 17.248.172.234 : 443"
1646915001.941064000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52355 | dst 142.250.110.128 : 443"
1646915002.551088000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52356 | dst 17.248.173.70 : 443"
1646915003.171059000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52357 | dst 17.248.172.208 : 443"
1646915004.577975000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52358 | dst 17.248.173.70 : 443"
1646915019.213524000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52359 | dst 17.248.173.40 : 443"
1646915019.380024000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52359 | dst 17.248.173.40 : 443"
1646915019.941053000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52360 | dst 66.102.1.128 : 443"
1646915021.4371000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52361 | dst 17.248.172.107 : 443"
1646915021.455635000, Interface, TLS,"gcs-eu-00002.content-storage-upload.googleapis.com"," src 192.168.0.199 : 52362 | dst 64.233.167.128 : 443"
1646915021.790480000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52363 | dst 17.248.173.70 : 443"
1646915044.418150000, Interface, TLS,"api-glb-euc1a.smoot.apple.com"," src 192.168.0.199 : 52364 | dst 18.156.205.85 : 443"
1646915045.169510000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52365 | dst 34.232.120.145 : 443"
1646915046.315651000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52366 | dst 64.68.120.47 : 443"
1646915098.500575000, Interface, TLS,"usersub-k.wbx2.com"," src 192.168.0.199 : 52368 | dst 170.72.226.176 : 443"
1646915104.875962000, Interface, TLS,"api.apple-cloudkit.com"," src 192.168.0.199 : 52369 | dst 17.248.172.200 : 443"
1646915107.304444000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52370 | dst 64.68.120.47 : 443"
1646915109.332844000, Interface, TLS,"dl-debug.dropbox.com"," src 192.168.0.199 : 52371 | dst 162.125.72.17 : 443"
1646915147.620112000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52372 | dst 64.68.120.47 : 443"
1646915154.605150000, Interface, TLS,"jamfsw.okta.com"," src 192.168.0.199 : 52373 | dst 18.209.113.147 : 443"
1646915155.176638000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52374 | dst 34.232.120.145 : 443"
1646915156.894957000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52375 | dst 104.64.117.26 : 443"
1646915157.536774000, Interface, HTTP,"proxy-safebrowsing.googleapis.comproxy-safebrowsing.googleapis.com:443"," src 192.168.0.199 : 52376 | dst 17.253.55.211 : 80"
1646915157.591199000, Interface, TLS,"apidata.googleusercontent.com"," src 192.168.0.199 : 52377 | dst 142.251.36.129 : 443"
1646915158.377392000, Interface, TLS,"p49-acsegateway.icloud.com"," src 192.168.0.199 : 52378 | dst 17.248.172.241 : 443"
1646915159.680559000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52379 | dst 104.64.117.26 : 443"
1646915160.179326000, Interface, TLS,"help.apple.com"," src 192.168.0.199 : 52380 | dst 92.123.229.159 : 443"
1646915168.318101000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52381 | dst 64.68.120.47 : 443"
1646915174.535017000, Interface, TLS,"mask-api.icloud.com"," src 192.168.0.199 : 52382 | dst 17.248.173.6 : 443"
1646915174.908569000, Interface, TLS,"gsa.apple.com"," src 192.168.0.199 : 52383 | dst 17.179.252.2 : 443"
1646915174.964662000, Interface, TLS,"configuration.ls.apple.com"," src 192.168.0.199 : 52384 | dst 2.23.9.112 : 443"
1646915175.137461000, Interface, TLS,"fbs.smoot.apple.com"," src 192.168.0.199 : 52386 | dst 54.195.83.61 : 443"
1646915175.139422000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52387 | dst 17.253.73.201 : 443"
1646915175.231993000, Interface, TLS,"carry-swallow.siri.apple.com"," src 192.168.0.199 : 52385 | dst 17.33.5.1 : 443"
1646915175.403178000, Interface, TLS,"carry-swallow.siri.apple.com"," src 192.168.0.199 : 52385 | dst 17.33.5.1 : 443"
1646915176.116652000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52388 | dst 17.253.73.205 : 443"
1646915176.423993000, Interface, TLS,"gsas.apple.com"," src 192.168.0.199 : 52389 | dst 17.179.252.2 : 443"
1646915176.712693000, Interface, TLS,"mask-api.icloud.com"," src 192.168.0.199 : 52390 | dst 17.248.173.77 : 443"
1646915177.300954000, Interface, TLS,"carry-swallow.siri.apple.com"," src 192.168.0.199 : 52391 | dst 17.33.5.1 : 443"
1646915177.509706000, Interface, TLS,"carry-swallow.siri.apple.com"," src 192.168.0.199 : 52391 | dst 17.33.5.1 : 443"
1646915184.851004000, Interface, TLS,"outlook.office365.com"," src 192.168.0.199 : 52392 | dst 40.101.9.178 : 443"
1646915184.868150000, Interface, TLS,"www.googleapis.com"," src 192.168.0.199 : 52393 | dst 142.251.36.74 : 443"
1646915184.886488000, Interface, TLS,"p49-contacts.icloud.com"," src 192.168.0.199 : 52394 | dst 17.248.172.164 : 443"
1646915185.936014000, Interface, TLS,"outlook.office365.com"," src 192.168.0.199 : 52395 | dst 52.97.151.130 : 443"
1646915185.999687000, Interface, TLS,"guzzoni.apple.com"," src 192.168.0.199 : 52396 | dst 15.160.8.1 : 443"
1646915186.472514000, Interface, TLS,"outlook.office365.com"," src 192.168.0.199 : 52397 | dst 52.97.151.130 : 443"
1646915190.298741000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52398 | dst 17.248.172.240 : 443"
1646915190.419284000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52399 | dst 17.248.172.108 : 443"
1646915197.44154000, Interface, TLS,"jamf.jamfcloud.com"," src 192.168.0.199 : 52400 | dst 34.231.33.34 : 443"
1646915206.401803000, Interface, TLS,"apps.mzstatic.com"," src 192.168.0.199 : 52401 | dst 23.73.140.46 : 443"
1646915206.423480000, Interface, TLS,"play.itunes.apple.com"," src 192.168.0.199 : 52402 | dst 2.16.2.9 : 443"
1646915206.952891000, Interface, TLS,"experiments.apple.com"," src 192.168.0.199 : 52403 | dst 23.73.140.141 : 443"
1646915207.326463000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52404 | dst 17.248.172.175 : 443"
1646915207.334971000, Interface, TLS,"bag.itunes.apple.com"," src 192.168.0.199 : 52405 | dst 23.73.140.46 : 443"
1646915207.504344000, Interface, TLS,"apps.mzstatic.com"," src 192.168.0.199 : 52406 | dst 23.73.140.46 : 443"
1646915208.94618000, Interface, TLS,"p49-escrowproxy.icloud.com"," src 192.168.0.199 : 52407 | dst 17.248.172.204 : 443"
1646915208.103930000, Interface, TLS,"play.itunes.apple.com"," src 192.168.0.199 : 52408 | dst 2.16.2.9 : 443"
1646915210.329392000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52409 | dst 17.248.172.106 : 443"
1646915210.492724000, Interface, TLS,"apps.mzstatic.com"," src 192.168.0.199 : 52410 | dst 23.73.140.46 : 443"
1646915211.443179000, Interface, TLS,"play.itunes.apple.com"," src 192.168.0.199 : 52411 | dst 2.16.2.9 : 443"
1646915212.121116000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52412 | dst 2.23.10.41 : 443"
1646915213.974586000, Interface, TLS,"metrics.icloud.com"," src 192.168.0.199 : 52413 | dst 17.248.173.45 : 443"
1646915214.976922000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52414 | dst 23.73.140.141 : 443"
1646915215.238223000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52415 | dst 23.73.140.141 : 443"
1646915215.674385000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52416 | dst 23.73.140.141 : 443"
1646915216.82624000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52417 | dst 23.73.140.141 : 443"
1646915216.433848000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52418 | dst 23.73.140.141 : 443"
1646915216.841259000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52419 | dst 17.167.200.72 : 443"
