timestamp, source,"url","data"
1646913965.940166, Browser, TLS,"vut.cz/","{'frameId': 0, 'method': 'GET', 'parentFrameId': -1, 'requestId': '379', 'tabId': 31, 'timeStamp': 1646913965940.166, 'type': 'main_frame', 'url': 'https://vut.cz/'}"
1646913965.943313, Browser, TLS,"www.vut.cz/","{'frameId': 0, 'method': 'GET', 'parentFrameId': -1, 'requestId': '379', 'tabId': 31, 'timeStamp': 1646913965943.313, 'type': 'main_frame', 'url': 'https://www.vut.cz/'}"
1646913966.231367, Browser, TLS,"www.vut.cz/i/css/portal2018.css?ver=30","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '380', 'tabId': 31, 'timeStamp': 1646913966231.3672, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/css/portal2018.css?ver=30'}"
1646913966.231516, Browser, TLS,"www.vut.cz/i/www_base/js/vutbox/vutbox.css?v=8","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '381', 'tabId': 31, 'timeStamp': 1646913966231.5159, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/js/vutbox/vutbox.css?v=8'}"
1646913966.23158, Browser, TLS,"www.vut.cz/i/www_base/css/icomoon/style.css?ver=24","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '382', 'tabId': 31, 'timeStamp': 1646913966231.58, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/css/icomoon/style.css?ver=24'}"
1646913966.231642, Browser, TLS,"www.vut.cz/i/css/portal2018_vutpath.css?ver=23","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '383', 'tabId': 31, 'timeStamp': 1646913966231.642, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/css/portal2018_vutpath.css?ver=23'}"
1646913966.231701, Browser, TLS,"www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '384', 'tabId': 31, 'timeStamp': 1646913966231.701, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.css'}"
1646913966.231766, Browser, TLS,"www.vut.cz/i/www_base/js/combobox/combobox.css?v=3","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '385', 'tabId': 31, 'timeStamp': 1646913966231.7659, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/js/combobox/combobox.css?v=3'}"
1646913966.231822, Browser, TLS,"www.vut.cz/i/www_base/lib_www/jquery/themes/teacher2/jquery-ui-1.9.2.custom.min.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '386', 'tabId': 31, 'timeStamp': 1646913966231.822, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/lib_www/jquery/themes/teacher2/jquery-ui-1.9.2.custom.min.css'}"
1646913966.231881, Browser, TLS,"www.vut.cz/i/www_base/css/autoCombo/autoCombo.css?ver=4","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '387', 'tabId': 31, 'timeStamp': 1646913966231.8809, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/css/autoCombo/autoCombo.css?ver=4'}"
1646913966.231944, Browser, TLS,"www.vut.cz/i/www_base/css/autoCombo/autoCombo_portal.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '388', 'tabId': 31, 'timeStamp': 1646913966231.944, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/css/autoCombo/autoCombo_portal.css'}"
1646913966.231999, Browser, TLS,"www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.css?v=7","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '389', 'tabId': 31, 'timeStamp': 1646913966231.999, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.css?v=7'}"
